Old_Page,Matched_New_Page,Similarity_Score,Status
139,143,0.9692,High Confidence
140,144,0.9888,High Confidence
141,145,1.0,High Confidence
142,146,1.0,High Confidence
143,147,1.0,High Confidence
144,148,1.0,High Confidence
145,149,1.0,High Confidence
146,150,0.9765,High Confidence
147,151,1.0,High Confidence
148,152,1.0,High Confidence
149,153,1.0,High Confidence
150,154,1.0,High Confidence
151,155,1.0,High Confidence
152,156,1.0,High Confidence
153,157,0.9847,High Confidence
154,158,0.9684,High Confidence
155,159,0.9134,High Confidence
156,161,1.0,High Confidence
157,162,1.0,High Confidence
158,163,0.9788,High Confidence
159,164,0.3689,Low Confidence
160,165,0.1779,Low Confidence
161,166,1.0,High Confidence
162,167,1.0,High Confidence
163,168,0.9825,High Confidence
164,169,0.9974,High Confidence
165,170,1.0,High Confidence
166,171,0.9863,High Confidence
167,172,1.0,High Confidence
168,173,0.8572,High Confidence
169,174,0.9953,High Confidence
170,175,1.0,High Confidence
171,177,1.0,High Confidence
173,179,0.8799,High Confidence
174,180,0.9486,High Confidence
175,181,0.7392,Medium
176,182,0.9211,High Confidence
177,183,0.7517,Medium
178,184,0.9678,High Confidence
179,185,0.6041,Medium
180,188,0.7122,Medium
181,187,0.8078,High Confidence
182,188,0.8383,High Confidence
183,187,0.7546,Medium
184,190,0.9679,High Confidence
185,191,0.9366,High Confidence
186,192,1.0,High Confidence
187,193,1.0,High Confidence
188,194,0.9784,High Confidence
189,195,0.968,High Confidence
190,196,0.999,High Confidence
191,197,0.7987,Medium
192,198,0.7808,Medium
193,199,0.8567,High Confidence
194,200,0.8604,High Confidence
195,201,0.8692,High Confidence
196,203,0.9737,High Confidence
197,204,0.9914,High Confidence
198,205,0.9656,High Confidence
199,206,0.9784,High Confidence
200,207,1.0,High Confidence
201,208,1.0,High Confidence
202,209,0.966,High Confidence
203,210,1.0,High Confidence
204,211,0.9994,High Confidence
205,212,1.0,High Confidence
206,213,1.0,High Confidence
207,214,0.9623,High Confidence
208,215,1.0,High Confidence
209,216,1.0,High Confidence
210,217,1.0,High Confidence
211,218,0.9905,High Confidence
212,219,0.9895,High Confidence
213,220,0.9667,High Confidence
214,221,0.9298,High Confidence
215,222,1.0,High Confidence
216,223,1.0,High Confidence
217,224,0.9788,High Confidence
218,225,1.0,High Confidence
219,226,0.9845,High Confidence
220,227,0.9858,High Confidence
221,228,0.9652,High Confidence
222,229,0.824,High Confidence
223,230,0.996,High Confidence
224,231,1.0,High Confidence
225,232,1.0,High Confidence
226,233,0.943,High Confidence
227,234,1.0,High Confidence
228,235,0.9778,High Confidence
229,236,1.0,High Confidence
230,237,1.0,High Confidence
231,238,1.0,High Confidence
232,239,0.9646,High Confidence
233,240,0.9974,High Confidence
234,241,0.993,High Confidence
235,242,0.9868,High Confidence
236,243,1.0,High Confidence
237,244,1.0,High Confidence
238,245,0.9971,High Confidence
239,246,0.9722,High Confidence
240,247,1.0,High Confidence
241,248,0.976,High Confidence
242,249,0.9603,High Confidence
243,250,0.9734,High Confidence
244,251,1.0,High Confidence
245,252,1.0,High Confidence
246,253,0.9773,High Confidence
247,254,0.9716,High Confidence
248,255,0.9748,High Confidence
249,256,0.9597,High Confidence
250,257,0.978,High Confidence
251,258,1.0,High Confidence
252,259,1.0,High Confidence
253,260,0.9944,High Confidence
254,261,0.9749,High Confidence
255,262,1.0,High Confidence
256,263,0.9485,High Confidence
257,264,1.0,High Confidence
258,265,0.997,High Confidence
259,266,0.9837,High Confidence
260,267,1.0,High Confidence
261,268,1.0,High Confidence
262,269,0.9867,High Confidence
263,270,1.0,High Confidence
264,271,0.9758,High Confidence
265,272,0.9822,High Confidence
266,273,0.9774,High Confidence
267,274,1.0,High Confidence
268,275,0.932,High Confidence
269,276,1.0,High Confidence
270,277,0.9879,High Confidence
271,278,1.0,High Confidence
272,279,1.0,High Confidence
273,280,0.98,High Confidence
274,281,0.9454,High Confidence
275,282,0.9591,High Confidence
276,283,0.9604,High Confidence
277,284,0.9273,High Confidence
278,285,1.0,High Confidence
279,286,1.0,High Confidence
280,287,1.0,High Confidence
281,288,1.0,High Confidence
282,289,0.992,High Confidence
283,290,0.9925,High Confidence
284,291,0.8906,High Confidence
285,292,0.9055,High Confidence
286,293,0.9489,High Confidence
287,294,0.8748,High Confidence
288,295,0.9099,High Confidence
289,296,1.0,High Confidence
290,297,1.0,High Confidence
291,298,0.9949,High Confidence
292,299,1.0,High Confidence
293,300,1.0,High Confidence
294,301,0.9225,High Confidence
295,302,1.0,High Confidence
296,303,1.0,High Confidence
297,304,0.9353,High Confidence
298,305,1.0,High Confidence
299,306,1.0,High Confidence
300,307,0.9623,High Confidence
301,308,0.9895,High Confidence
302,309,1.0,High Confidence
303,310,1.0,High Confidence
304,311,0.965,High Confidence
305,312,0.983,High Confidence
307,313,1.0,High Confidence
309,315,0.983,High Confidence
310,316,0.9391,High Confidence
311,317,1.0,High Confidence
312,318,0.994,High Confidence
313,319,0.975,High Confidence
314,320,0.9765,High Confidence
315,321,0.9502,High Confidence
316,322,1.0,High Confidence
317,323,1.0,High Confidence
319,325,0.9499,High Confidence
321,327,1.0,High Confidence
323,329,1.0,High Confidence
324,330,0.9226,High Confidence
325,331,1.0,High Confidence
326,332,0.9919,High Confidence
327,333,1.0,High Confidence
328,334,0.9919,High Confidence
329,335,0.9795,High Confidence
330,336,1.0,High Confidence
331,337,0.9996,High Confidence
332,338,1.0,High Confidence
333,343,1.0,High Confidence
335,345,0.9371,High Confidence
336,345,0.9371,High Confidence
337,345,0.9371,High Confidence
338,345,0.9371,High Confidence
339,345,0.9371,High Confidence
340,345,0.9371,High Confidence
341,345,0.7715,Medium
342,345,0.7715,Medium
343,345,0.7715,Medium
344,345,0.7228,Medium
345,347,1.0,High Confidence
347,349,1.0,High Confidence
348,350,1.0,High Confidence
349,351,1.0,High Confidence
350,352,1.0,High Confidence
351,353,1.0,High Confidence
353,355,0.8053,High Confidence
354,366,0.8726,High Confidence
355,356,0.8557,High Confidence
356,357,0.8605,High Confidence
357,358,0.6266,Medium
358,359,0.884,High Confidence
359,389,0.644,Medium
360,362,0.8378,High Confidence
361,364,0.7381,Medium
362,363,0.8869,High Confidence
363,364,0.9474,High Confidence
364,365,0.8923,High Confidence
366,367,0.7658,Medium
367,368,0.7931,Medium
368,369,0.7654,Medium
369,370,0.821,High Confidence
370,371,0.8921,High Confidence
371,372,0.8173,High Confidence
372,366,0.6219,Medium
373,374,0.9641,High Confidence
374,375,0.5468,Medium
375,376,0.8628,High Confidence
376,377,0.4538,Low Confidence
377,389,0.638,Medium
378,379,0.6252,Medium
379,379,0.5952,Medium
380,379,0.6323,Medium
381,381,0.8703,High Confidence
382,382,0.9251,High Confidence
383,383,0.8988,High Confidence
384,382,0.9471,High Confidence
385,385,0.9249,High Confidence
386,386,0.962,High Confidence
387,387,0.6841,Medium
388,388,0.8022,High Confidence
389,390,0.9388,High Confidence
390,391,0.8405,High Confidence
391,392,1.0,High Confidence
392,393,0.7885,Medium
393,394,0.7113,Medium
394,395,0.8944,High Confidence
395,396,0.812,High Confidence
396,397,0.8796,High Confidence
397,398,0.8026,High Confidence
398,399,0.9681,High Confidence
399,401,1.0,High Confidence
401,403,0.9478,High Confidence
402,404,0.9646,High Confidence
403,405,1.0,High Confidence
405,407,1.0,High Confidence
406,408,0.9925,High Confidence
407,409,1.0,High Confidence
408,410,1.0,High Confidence
409,411,0.9922,High Confidence
410,412,0.7145,Medium
411,413,1.0,High Confidence
412,414,1.0,High Confidence
413,415,1.0,High Confidence
414,416,1.0,High Confidence
415,417,1.0,High Confidence
416,418,1.0,High Confidence
417,419,0.9955,High Confidence
418,420,0.99,High Confidence
419,421,1.0,High Confidence
420,422,1.0,High Confidence
421,423,1.0,High Confidence
422,424,1.0,High Confidence
423,425,1.0,High Confidence
424,426,1.0,High Confidence
425,427,1.0,High Confidence
426,428,1.0,High Confidence
427,429,1.0,High Confidence
428,430,1.0,High Confidence
429,431,1.0,High Confidence
430,432,0.997,High Confidence
431,433,0.9873,High Confidence
432,434,1.0,High Confidence
433,435,1.0,High Confidence
434,437,0.9985,High Confidence
435,438,1.0,High Confidence
436,439,1.0,High Confidence
437,440,1.0,High Confidence
438,441,1.0,High Confidence
439,442,1.0,High Confidence
441,444,0.8814,High Confidence
442,445,0.9551,High Confidence
443,446,0.9345,High Confidence
444,447,0.8721,High Confidence
445,448,0.4818,Low Confidence
446,449,0.9971,High Confidence
447,450,1.0,High Confidence
449,426,0.1504,Low Confidence
450,453,0.4593,Low Confidence
451,453,0.6082,Medium
452,415,0.4181,Low Confidence
453,414,0.2977,Low Confidence
454,24,0.2286,Low Confidence
455,452,0.4916,Low Confidence
456,426,0.207,Low Confidence
457,453,0.7617,Medium
459,1,0.0,Low Confidence
461,17,0.5109,Medium
462,23,0.1706,Low Confidence
463,96,0.4475,Low Confidence
464,102,0.3516,Low Confidence
465,124,0.4245,Low Confidence
466,124,0.4543,Low Confidence
467,126,0.5947,Medium
468,157,0.4292,Low Confidence
469,172,0.8737,High Confidence
470,191,0.2557,Low Confidence
471,194,0.1973,Low Confidence
472,199,0.2299,Low Confidence
473,197,0.1627,Low Confidence
474,199,0.7346,Medium
475,200,0.3585,Low Confidence
476,233,0.2517,Low Confidence
477,277,0.3529,Low Confidence
478,277,0.4047,Low Confidence
479,286,0.5085,Medium
480,302,0.3259,Low Confidence
481,374,0.2662,Low Confidence
482,412,0.6511,Medium
483,413,0.4349,Low Confidence
484,437,0.82,High Confidence
485,23,0.3118,Low Confidence
486,25,0.9235,High Confidence
487,105,0.2232,Low Confidence
488,124,0.5864,Medium
489,126,0.5815,Medium
490,169,0.8842,High Confidence
491,180,0.314,Low Confidence
492,200,0.8486,High Confidence
493,201,0.4316,Low Confidence
494,286,0.8616,High Confidence
495,286,0.8159,High Confidence
496,303,0.2072,Low Confidence
497,316,0.599,Medium
498,317,0.3722,Low Confidence
499,320,0.8472,High Confidence
500,417,0.344,Low Confidence
501,24,0.4301,Low Confidence
502,83,0.4461,Low Confidence
503,108,0.6385,Medium
504,169,0.7986,Medium
505,196,0.5174,Medium
506,291,0.3189,Low Confidence
507,292,0.7616,Medium
508,292,0.5805,Medium
509,292,0.2497,Low Confidence
510,361,0.4467,Low Confidence
511,365,0.4398,Low Confidence
512,398,0.2505,Low Confidence
513,414,0.9213,High Confidence
514,420,0.8828,High Confidence
515,426,0.2306,Low Confidence
516,25,0.8383,High Confidence
517,101,0.3908,Low Confidence
518,118,0.6735,Medium
519,169,0.8603,High Confidence
520,193,0.2877,Low Confidence
521,202,0.7292,Medium
522,202,0.8519,High Confidence
523,222,0.5826,Medium
524,222,0.4236,Low Confidence
525,223,0.9755,High Confidence
526,262,0.6786,Medium
527,262,0.5985,Medium
528,262,0.7268,Medium
529,264,0.313,Low Confidence
530,405,0.2324,Low Confidence
531,414,0.9944,High Confidence
532,417,0.9511,High Confidence
533,419,0.9335,High Confidence
534,425,0.9945,High Confidence
535,430,0.9602,High Confidence
536,34,0.3522,Low Confidence
537,104,0.3575,Low Confidence
538,154,0.1712,Low Confidence
539,169,0.9645,High Confidence
540,174,0.9518,High Confidence
541,192,0.7065,Medium
542,199,0.8442,High Confidence
543,223,0.9731,High Confidence
544,223,0.9522,High Confidence
545,320,0.3625,Low Confidence
546,403,0.9069,High Confidence
547,404,0.7905,Medium
548,414,0.6592,Medium
549,10,0.3413,Low Confidence
550,32,0.5226,Medium
551,87,0.4928,Low Confidence
552,96,0.6332,Medium
553,117,0.8972,High Confidence
554,118,0.9544,High Confidence
555,119,0.745,Medium
556,120,0.8657,High Confidence
557,121,0.7473,Medium
558,140,0.6313,Medium
559,167,0.9386,High Confidence
560,169,0.809,High Confidence
561,169,0.8932,High Confidence
562,263,0.326,Low Confidence
563,277,0.5651,Medium
564,403,0.9024,High Confidence
565,1,0.0,Low Confidence
566,411,0.9927,High Confidence
567,420,0.5794,Medium
568,444,0.8812,High Confidence
569,445,0.9398,High Confidence
570,446,0.9268,High Confidence
571,447,0.8088,High Confidence
572,448,0.4402,Low Confidence
573,449,0.9971,High Confidence
